accession,tax_id,organism_name,common_name,fasta_url_download
GCA_028533245.1,9634,Helarctos malayanus,Malayan sun bear,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028533245.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Helarctosmalayanus.zip"
GCF_016433145.1,191870,Gracilinanus agilis,Agile Gracile Mouse Opossum,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_016433145.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Gracilinanusagilis.zip"
GCA_028534135.1,29067,Potos flavus,kinkajou,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028534135.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Potosflavus.zip"
GCA_028533885.1,352831,Nasua narica,White-nosed coati,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028533885.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Nasuanarica.zip"
GCA_028533395.1,77223,Rousettus madagascariensis,Madagascan rousette,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028533395.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rousettusmadagascariensis.zip"
GCA_028646355.1,161921,Arctocephalus townsendi,Guadalupe fur seal,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028646355.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Arctocephalustownsendi.zip"
GCA_028533065.1,148073,Trachops cirrhosus,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028533065.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Trachopscirrhosus.zip"
GCA_028646385.1,46167,Steno bredanensis,rough-toothed dolphin,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028646385.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Stenobredanensis.zip"
GCA_015711505.1,365149,Sylvilagus bachmani,brush rabbit,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015711505.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Sylvilagusbachmani.zip"
GCA_028644305.1,226860,Xerus rutilus,unstriped ground squirrel,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028644305.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Xerusrutilus.zip"
GCA_028533205.1,65632,Lagorchestes hirsutus,rufous hare-wallaby,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028533205.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Lagorchesteshirsutus.zip"
GCA_028533165.1,30588,Leontopithecus rosalia,golden lion tamarin,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028533165.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Leontopithecusrosalia.zip"
GCA_028533215.1,1303000,Babyrousa celebensis,North Sulawesi babirusa,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028533215.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Babyrousacelebensis.zip"
GCA_028551405.1,36800,Uromys caudimaculatus,giant uromys,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028551405.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Uromyscaudimaculatus.zip"
GCA_028658305.1,298894,Pachyuromys duprasi,fat-tailed gerbil,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028658305.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pachyuromysduprasi.zip"
GCA_028658325.1,173936,Potorous gilbertii,Gilbert's potoroo,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028658325.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Potorousgilbertii.zip"
GCA_028627215.1,9317,Macropus giganteus,eastern gray kangaroo,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028627215.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Macropusgiganteus.zip"
GCA_028533085.1,9455,Varecia variegata,ruffed lemur,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028533085.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Vareciavariegata.zip"
GCA_028534055.1,34828,Eulemur mongoz,mongoose lemur,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028534055.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Eulemurmongoz.zip"
GCA_907164435.1,60744,Acomys dimidiatus,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_907164435.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Acomysdimidiatus.zip"
GCA_028534165.1,187985,Coendou prehensilis,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028534165.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Coendouprehensilis.zip"
GCA_028583105.1,9316,Macropus fuliginosus,western gray kangaroo,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028583105.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Macropusfuliginosus.zip"
GCA_028627265.1,36225,Cercopithecus mitis,blue monkey,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028627265.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Cercopithecusmitis.zip"
GCA_028646595.1,65615,Phalanger gymnotis,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028646595.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Phalangergymnotis.zip"
GCA_028627135.1,37702,Pseudochirops cupreus,coppery ringtail possum,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028627135.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pseudochiropscupreus.zip"
GCA_028646515.1,65629,Pseudochirops corinnae,golden ringtail possum,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028646515.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pseudochiropscorinnae.zip"
GCA_907169655.1,83527,Acomys percivali,Percival's spiny mouse,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_907169655.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Acomyspercivali.zip"
GCA_013496395.1,439328,Giraffa tippelskirchi,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_013496395.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Giraffatippelskirchi.zip"
GCA_028646575.1,656515,Pseudocheirus occidentalis,Western ringtail oppossum,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028646575.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pseudocheirusoccidentalis.zip"
GCF_000164845.4,30538,Vicugna pacos,alpaca,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000164845.4/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Vicugnapacos.zip"
GCF_017311325.1,29073,Ursus maritimus,polar bear,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_017311325.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ursusmaritimus.zip"
GCF_017639785.1,10036,Mesocricetus auratus,golden hamster,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_017639785.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Mesocricetusauratus.zip"
GCF_000223135.1,10029,Cricetulus griseus,Chinese hamster,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000223135.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Cricetulusgriseus.zip"
GCF_015252025.1,60711,Chlorocebus sabaeus,green monkey,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_015252025.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Chlorocebussabaeus.zip"
GCF_011764305.1,9669,Mustela putorius furo,domestic ferret,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_011764305.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Mustelaputoriusfuro.zip"
GCF_000151735.1,10141,Cavia porcellus,domestic guinea pig,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151735.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Caviaporcellus.zip"
GCA_023783515.1,9534,Chlorocebus aethiops,grivet,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_023783515.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Chlorocebusaethiops.zip"
GCF_000247695.1,10181,Heterocephalus glaber,naked mole-rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000247695.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Heterocephalusglaber.zip"
GCF_000767855.1,9837,Camelus bactrianus,Bactrian camel,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000767855.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Camelusbactrianus.zip"
GCF_000956065.1,9545,Macaca nemestrina,pig-tailed macaque,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000956065.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Macacanemestrina.zip"
GCF_021218885.2,9995,Marmota monax,woodchuck,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021218885.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Marmotamonax.zip"
GCA_023781915.1,9557,Papio hamadryas,hamadryas baboon,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_023781915.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Papiohamadryas.zip"
GCF_022376915.1,68408,Moschus berezovskii,Chinese forest musk deer,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_022376915.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Moschusberezovskii.zip"
GCF_002099425.1,38626,Phascolarctos cinereus,koala,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002099425.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Phascolarctoscinereus.zip"
GCF_000334495.1,246437,Tupaia chinensis,Chinese tree shrew,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000334495.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Tupaiachinensis.zip"
GCA_000181375.1,37347,Tupaia belangeri,northern tree shrew,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_000181375.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Tupaiabelangeri.zip"
GCA_030556225.1,10044,Phodopus sungorus,Djungarian hamster,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_030556225.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Phodopussungorus.zip"
GCF_902806735.1,447135,Myodes glareolus,Bank vole,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_902806735.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Myodesglareolus.zip"
GCF_014570535.1,9974,Manis javanica,Malayan pangolin,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_014570535.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Manisjavanica.zip"
GCF_000001905.1,9785,Loxodonta africana,African savanna elephant,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000001905.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Loxodontaafricana.zip"
GCF_000147115.1,59463,Myotis lucifugus,little brown bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000147115.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Myotislucifugus.zip"
GCF_002204375.1,10047,Meriones unguiculatus,Mongolian gerbil,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002204375.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Merionesunguiculatus.zip"
GCF_020975775.1,9643,Ursus americanus,American black bear,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_020975775.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ursusamericanus.zip"
GCF_002288925.2,9749,Delphinapterus leucas,beluga whale,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002288925.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Delphinapterusleucas.zip"
GCF_014176215.1,9407,Rousettus aegyptiacus,Egyptian rousette,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_014176215.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rousettusaegyptiacus.zip"
GCF_000325575.1,9402,Pteropus alecto,black flying fox,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000325575.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pteropusalecto.zip"
GCA_007844835.1,30520,Bos frontalis,gayal,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_007844835.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bosfrontalis.zip"
GCA_003118495.1,9543,Macaca fuscata fuscata,Japanese macaque,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_003118495.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Macacafuscatafuscata.zip"
GCF_021234435.1,9417,Artibeus jamaicensis,Jamaican fruit-eating bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_021234435.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Artibeusjamaicensis.zip"
GCF_000283155.1,73337,Ceratotherium simum simum,southern white rhinoceros,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000283155.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ceratotheriumsimumsimum.zip"
GCF_017591425.1,130825,Ochotona curzoniae,black-lipped pika,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_017591425.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ochotonacurzoniae.zip"
GCF_003426925.1,9999,Urocitellus parryii,Arctic ground squirrel,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003426925.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Urocitellusparryii.zip"
GCF_003160815.1,9627,Vulpes vulpes,red fox,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003160815.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Vulpesvulpes.zip"
GCF_000622305.1,1026970,Nannospalax galili,Upper Galilee mountains blind mole rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000622305.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Nannospalaxgalili.zip"
GCF_000298355.1,72004,Bos mutus,wild yak,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000298355.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bosmutus.zip"
GCF_000754665.1,43346,Bison bison bison,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000754665.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Bisonbisonbison.zip"
GCF_002102435.1,9880,Odocoileus virginianus texanus,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_002102435.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Odocoileusvirginianustexanus.zip"
GCF_905146905.1,34880,Nyctereutes procyonoides,raccoon dog,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_905146905.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Nyctereutesprocyonoides.zip"
GCA_024803745.1,10013,Thomomys bottae,Botta's pocket gopher,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_024803745.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Thomomysbottae.zip"
GCF_014885135.2,100897,Microtus fortis,reed vole,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_014885135.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Microtusfortis.zip"
GCA_004025045.1,42415,Sigmodon hispidus,hispid cotton rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_004025045.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Sigmodonhispidus.zip"
GCF_000151845.1,132908,Pteropus vampyrus,large flying fox,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000151845.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pteropusvampyrus.zip"
GCA_001675575.1,56216,Neotoma lepida,desert woodrat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_001675575.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Neotomalepida.zip"
GCF_007827085.1,564181,Peromyscus californicus insignis,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_007827085.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Peromyscuscalifornicusinsignis.zip"
GCF_003031525.2,1706337,Neophocaena asiaeorientalis asiaeorientalis,Yangtze finless porpoise,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003031525.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Neophocaenaasiaeorientalisasiaeorientalis.zip"
GCA_009660055.1,441215,Ursus thibetanus thibetanus,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_009660055.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Ursusthibetanusthibetanus.zip"
GCA_951849835.1,9858,Capreolus capreolus,Western roe deer,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_951849835.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Capreoluscapreolus.zip"
GCA_023783475.1,31869,Daubentonia madagascariensis,aye-aye,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_023783475.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Daubentoniamadagascariensis.zip"
GCF_014108235.1,51298,Myotis myotis,,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_014108235.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Myotismyotis.zip"
GCA_003508835.1,58065,Eonycteris spelaea,lesser dawn bat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_003508835.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Eonycterisspelaea.zip"
GCF_001984765.1,51338,Castor canadensis,American beaver,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_001984765.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Castorcanadensis.zip"
GCF_004028035.1,34886,Eumetopias jubatus,Steller sea lion,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_004028035.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Eumetopiasjubatus.zip"
GCF_009761245.1,9515,Sapajus apella,tufted capuchin,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_009761245.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Sapajusapella.zip"
GCA_009823505.1,53275,Rhizomys pruinosus,hoary bamboo rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_009823505.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Rhizomyspruinosus.zip"
GCA_015832495.2,9852,Alces alces,Eurasian elk,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_015832495.2/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Alcesalces.zip"
GCF_012274545.1,885580,Fukomys damarensis,Damara mole-rat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_012274545.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Fukomysdamarensis.zip"
GCA_002406435.1,99837,Spermophilus dauricus,Daurian ground squirrel,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_002406435.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Spermophilusdauricus.zip"
GCF_003327715.1,9696,Puma concolor,puma,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_003327715.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Pumaconcolor.zip"
GCF_000696425.1,482537,Galeopterus variegatus,Sunda flying lemur,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000696425.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Galeopterusvariegatus.zip"
GCF_000260255.1,10160,Octodon degus,degu,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_000260255.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Octodondegus.zip"
GCA_004026945.1,37174,Ovis canadensis,bighorn sheep,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_004026945.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Oviscanadensis.zip"
GCF_022079265.1,61384,Lynx rufus,bobcat,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCF_022079265.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Lynxrufus.zip"
GCA_028537955.1,100895,Microtus californicus,California vole,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_028537955.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Microtuscalifornicus.zip"
GCA_029958975.1,9983,Lepus europaeus,European hare,"https://api.ncbi.nlm.nih.gov/datasets/v2alpha/genome/accession/GCA_029958975.1/download?include_annotation_type=DEFAULT,GENOME_FASTA,PROT_FASTA,RNA_FASTA,CDS_FASTA&filename=Lepuseuropaeus.zip"
